Team,Level,Region,Type,Name,Rule,Item,LinkID,X,Y,Z,Notes,Notes 2
Dark,Seaside Hill,First Loop,ItemBox,Left 5 Rings Box,ItemBox,Rings5,0,44.23,287.58,-5107.67,left,
Dark,Seaside Hill,First Loop,ItemBox,Center 5 Rings Box,ItemBox,Rings5,0,81.62,323.58,-5099.388,center,
Dark,Seaside Hill,First Loop,ItemBox,Right 5 Rings Box,ItemBox,Rings5,0,126.62,365.58,-5092.609,right,
Dark,Seaside Hill,Hermit Crab Cliff Below Eggmans Robots,ItemBox,Extra life Box,ItemBox,ExtraLife,0,248.877,202.6395,-6337.48,Available on All Teams,
Dark,Seaside Hill,Eggmans Robots Top,ItemBox,Shield Box In Rock,ItemBoxANDBreakThings,Shield,0,-775.99,530,-6660.06,in rock,
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,ItemBox,10 Rings Box in Iron Container,ItemBoxANDBreakIronContainer,Rings10,0,-1769.18,619.9,-6393.996,in iron container,
Dark,Seaside Hill,Staircase Before Corner Cave Bottom Item Balloon,ItemBalloon,Fly Level Up Balloon,ItemBalloon,LevelUpFly,0,-2072.6,613,-6420.188,,
Dark,Seaside Hill,Ruin Before Corner Cave,ItemBalloon,Speed Up Balloon,ItemBalloonAND(FlyAnyORJumpORFullFlyingStackwithTallChar),SpeedShoes,0,-2830.04,749.9459,-6470.037,,
Dark,Seaside Hill,Corner Cave,ItemBox,Loop Center 5 Rings Box,ItemBox,Rings5,0,-4370.176,482.0524,-7693.988,center of loop,
Dark,Seaside Hill,First Island Top Pillar Right,ItemBalloon,Fly Level Up Balloon,ItemBalloonAND(FlyAnyOR(JumpANDFullFlyingStackwithTallChar)ORCannonAND(JumpORThundershoot0)ANDFlyingChar),LevelUpFly,0,-4410.34,394.0565,-11321.93,,
Dark,Seaside Hill,First Ruin Between First and Second Island,ItemBalloon,Left 5 Rings Balloon in Rock,ItemBalloonAND(BreakThingsOR(CannonAND(ComboHeightORJump)ANDPowerChar)),Rings5,0,-4605.006,93.5,-11289.73,left rock,
Dark,Seaside Hill,First Ruin Between First and Second Island,ItemBalloon,Center 5 Rings Balloon in Rock,ItemBalloonAND(BreakThingsOR(CannonAND(ComboHeightORJump)ANDPowerChar)),Rings5,0,-4555.006,93.5,-11289.73,center rock,
Dark,Seaside Hill,First Ruin Between First and Second Island,ItemBalloon,Right Power Level Up Balloon in Rock,ItemBalloonAND(BreakThingsOR(CannonAND(ComboHeightORJump)ANDPowerChar)),LevelUpPower,0,-4505.006,93.5,-11289.73,right rock,
Dark,Seaside Hill,Second Island,ItemBalloon,10 Rings Balloon,ItemBalloonAND(FlyAnyORJumpORTripleSpring),Rings10,0,-4522.08,164.76,-12214.5,,
Dark,Seaside Hill,Second Island High Item Balloon,ItemBalloon,Fly Level Up Balloon,ItemBalloon,LevelUpFly,0,-4418.694,358.02,-12342.48,,
Dark,Seaside Hill,First Bobsled After Block,ItemBalloon,First 5 Rings Balloon,ItemBalloon,Rings5,0,-4208.084,49.3547,-15612.81,,
Dark,Seaside Hill,First Bobsled After Block,ItemBalloon,Second 5 Rings Balloon,ItemBalloon,Rings5,0,-3522.268,155,-16722.85,,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,ItemBox,10 Rings Box in Rock,ItemBoxANDBreakThings,Rings10,0,589.9285,386,-16148.27,in rock,
Dark,Seaside Hill,Lower Cliff Before Big Ruin Beach,ItemBox,Invincibility Box in Rock,ItemBoxANDBreakThings,Invincibility,0,454.9761,244.7602,-16049.88,in rock,
